UNIVERSITYID,University Name,Acceptance Rate,Average SAT,Niche Academic Grade,Niche Athletic Grade,Niche Campus Grade,Niche Campus Food Grade,Niche Diversity Grade,Niche Dorms Grade,Niche Location Grade,Niche Overall Grade,Niche Party Scene Grade,Niche Professors Grade,Niche Safety Grade,Niche Student Life Grade,Niche Value Grade,QS World Rankings,Undergraduate Population,2023 US News Ranking,2022 QS World Ranking,In-State Tuition,Out-of-State Tuition
81,University of Illinois,60,1430,100,96,89,92,100,82,89,100,100,100,82,100,100,82,34779,41,82,16170,34146
82,University of Iowa,86,1240,92,96,92,96,92,89,96,96,100,96,79,100,96,455,21608,83,455,9606,31569
83,University of Kansas,92,1210,92,100,96,92,96,86,96,92,100,96,82,100,89,387,19158,121,387,11167,28035
84,University of Kentucky,94,1206,89,100,96,92,92,100,92,92,100,96,79,100,89,651,21900,137,651,12360,31380
85,University of Maryland,52,1420,96,100,82,82,96,72,79,96,100,96,82,100,96,158,30922,55,158,10399,36891
86,University of Massachusetts Amherst,66,1355,96,92,92,100,96,86,86,96,100,96,89,100,96,246,24231,67,246,16439,35710
87,University of Miami,28,1380,100,100,92,82,100,72,96,100,100,100,86,100,92,311,12089,55,311,54712,54712
88,University of Michigan,20,1445,100,100,96,96,100,89,96,100,100,100,86,100,100,23,32282,25,23,16856,52266
89,University of Minnesota,73,1400,96,100,92,86,96,79,100,96,100,96,76,100,96,186,36209,62,186,15027,33325
90,University of Mississippi,90,1125,92,100,100,96,92,92,96,96,100,96,92,100,92,801,16092,151,801,8828,24098
91,University of Missouri,77,1240,92,96,96,92,89,89,89,92,100,96,82,100,92,476,23706,121,476,10961,28348
92,University of Nebraska,81,1205,92,96,92,92,92,92,92,92,96,96,82,96,92,571,19552,151,571,9242,26784
93,University of New Hampshire,87,1205,89,92,96,96,89,89,86,89,96,92,86,96,89,801,11490,137,801,18932,36752
94,University of North Carolina at Chapel Hill,19,1415,100,100,92,92,96,82,92,100,96,100,82,100,100,100,19897,29,100,9943,36159
95,University of Notre Dame,15,1480,100,100,96,96,92,92,76,100,96,100,86,100,100,222,8973,18,222,58358,58358
96,University of Oklahoma,85,1245,92,100,96,96,96,76,86,96,100,89,86,100,92,651,21152,127,651,11538,27093
97,University of Oregon,93,1220,89,100,96,100,96,86,86,89,100,96,79,96,89,651,18602,105,651,12720,36615
98,University of Pennsylvania,6,1525,100,86,92,79,100,82,100,100,100,100,86,100,100,13,9962,7,13,60042,60042
99,University of Pittsburgh,67,1360,96,96,89,79,96,82,100,96,96,100,86,100,96,163,19980,62,163,19926,33322
100,University of Rochester,41,1445,100,79,82,82,100,72,86,100,86,100,76,89,96,154,6570,36,154,58241,58241
101,University of South Carolina,62,1255,92,100,96,96,92,89,89,96,100,92,82,100,92,601,26864,115,601,12688,34088
102,University of Southern California,13,1475,100,100,100,92,100,92,92,100,100,100,82,100,96,112,20790,25,112,60275,60275
103,University of Southern Florida,49,1240,96,92,92,92,100,89,86,96,92,96,86,100,92,581,33077,97,581,6410,17324
104,University of Tennessee,75,1255,92,100,86,86,89,76,89,92,100,96,79,96,89,541,25067,115,541,13006,31006
105,University of Texas Austin,29,1365,100,100,92,96,96,79,96,100,100,96,79,100,96,67,40916,38,67,11448,40032
106,University of Texas Dallas,87,1295,92,76,82,86,96,86,89,92,76,92,89,82,92,477,21445,151,477,13442,38168
107,University of Tulsa,75,1220,96,92,89,86,96,86,86,96,86,96,82,92,96,801,2728,137,801,43566,43566
108,University of Vermont,64,1325,89,89,86,79,86,79,96,89,92,92,86,92,92,651,11626,121,651,19062,42750
109,University of Virginia,21,1460,100,100,96,76,96,89,92,100,100,100,82,100,100,226,17299,25,226,18346,52852
110,University of Wisconsin at Madison,60,1425,100,100,96,96,96,86,96,100,100,100,86,100,100,75,35474,38,75,10742,38678
111,Vanderbilt University,7,1525,100,96,96,96,100,86,100,100,100,100,82,100,100,218,7111,13,218,52780,52780
112,Villanova University,25,1420,100,100,89,79,89,86,89,100,89,96,86,96,100,3000,7032,51,3000,54738,54738
113,Wake Forest University,25,1425,100,96,92,89,92,89,79,100,96,100,89,96,100,429,5472,29,429,59846,59846
114,Washington University in St. Louis,13,1530,100,89,100,100,100,100,96,100,92,100,89,100,100,107,8034,15,107,57386,57386
115,William and Mary University,37,1440,100,89,82,72,96,72,86,100,82,96,86,89,100,651,6543,41,651,23628,45638
116,Worcester Polytechnic Institute,60,1380,96,79,76,72,92,72,86,96,89,92,86,89,96,751,5224,67,751,54944,54944
117,Yale University,5,1530,100,92,96,92,100,100,96,100,100,100,79,100,100,14,6536,3,14,59950,59950
118,Yeshiva University,62,1325,96,76,86,89,92,89,92,92,82,96,96,92,82,252,2045,67,252,47550,47550
